"export-plot data (NetLogo 6.4.0)"
"Final.nlogo"
"03/18/2025 03:14:20:900 +0530"

"MODEL SETTINGS"
"max-spice-level","reproduction-age","max-sugar-level","fear-decay-rate","initial-population"
"50","18","50","1","80"

"""Population Over Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1750","0","486","true","""population""","true","1"

"pen name","pen down?","mode","interval","color","x"
"""population""","true","0","1","86","1750"

"""population"""
"x","y","color","pen down?"
"0","80","86","true"
"1","121","86","true"
"2","167","86","true"
"3","222","86","true"
"4","278","86","true"
"5","340","86","true"
"6","400","86","true"
"7","442","86","true"
"8","456","86","true"
"9","459","86","true"
"10","459","86","true"
"11","459","86","true"
"12","459","86","true"
"13","459","86","true"
"14","459","86","true"
"15","459","86","true"
"16","459","86","true"
"17","459","86","true"
"18","459","86","true"
"19","459","86","true"
"20","459","86","true"
"21","459","86","true"
"22","459","86","true"
"23","459","86","true"
"24","459","86","true"
"25","459","86","true"
"26","459","86","true"
"27","459","86","true"
"28","459","86","true"
"29","459","86","true"
"30","459","86","true"
"31","459","86","true"
"32","459","86","true"
"33","459","86","true"
"34","459","86","true"
"35","459","86","true"
"36","459","86","true"
"37","459","86","true"
"38","459","86","true"
"39","459","86","true"
"40","459","86","true"
"41","459","86","true"
"42","459","86","true"
"43","459","86","true"
"44","459","86","true"
"45","459","86","true"
"46","459","86","true"
"47","459","86","true"
"48","459","86","true"
"49","459","86","true"
"50","459","86","true"
"51","459","86","true"
"52","459","86","true"
"53","459","86","true"
"54","459","86","true"
"55","459","86","true"
"56","459","86","true"
"57","459","86","true"
"58","459","86","true"
"59","459","86","true"
"60","459","86","true"
"61","459","86","true"
"62","459","86","true"
"63","459","86","true"
"64","459","86","true"
"65","459","86","true"
"66","459","86","true"
"67","459","86","true"
"68","459","86","true"
"69","459","86","true"
"70","459","86","true"
"71","459","86","true"
"72","459","86","true"
"73","459","86","true"
"74","459","86","true"
"75","459","86","true"
"76","458","86","true"
"77","458","86","true"
"78","457","86","true"
"79","456","86","true"
"80","455","86","true"
"81","454","86","true"
"82","451","86","true"
"83","449","86","true"
"84","445","86","true"
"85","440","86","true"
"86","435","86","true"
"87","433","86","true"
"88","431","86","true"
"89","428","86","true"
"90","426","86","true"
"91","423","86","true"
"92","418","86","true"
"93","413","86","true"
"94","409","86","true"
"95","407","86","true"
"96","402","86","true"
"97","398","86","true"
"98","393","86","true"
"99","392","86","true"
"100","388","86","true"
"101","386","86","true"
"102","384","86","true"
"103","376","86","true"
"104","372","86","true"
"105","370","86","true"
"106","360","86","true"
"107","351","86","true"
"108","341","86","true"
"109","333","86","true"
"110","322","86","true"
"111","317","86","true"
"112","307","86","true"
"113","300","86","true"
"114","284","86","true"
"115","274","86","true"
"116","261","86","true"
"117","250","86","true"
"118","236","86","true"
"119","226","86","true"
"120","213","86","true"
"121","206","86","true"
"122","195","86","true"
"123","181","86","true"
"124","172","86","true"
"125","166","86","true"
"126","156","86","true"
"127","147","86","true"
"128","138","86","true"
"129","121","86","true"
"130","113","86","true"
"131","102","86","true"
"132","99","86","true"
"133","93","86","true"
"134","81","86","true"
"135","75","86","true"
"136","67","86","true"
"137","53","86","true"
"138","48","86","true"
"139","43","86","true"
"140","34","86","true"
"141","27","86","true"
"142","20","86","true"
"143","14","86","true"
"144","10","86","true"
"145","8","86","true"
"146","2","86","true"
"147","2","86","true"
"148","2","86","true"
"149","2","86","true"
"150","2","86","true"
"151","2","86","true"
"152","2","86","true"
"153","2","86","true"
"154","2","86","true"
"155","2","86","true"
"156","2","86","true"
"157","2","86","true"
"158","3","86","true"
"159","4","86","true"
"160","5","86","true"
"161","6","86","true"
"162","7","86","true"
"163","9","86","true"
"164","11","86","true"
"165","13","86","true"
"166","15","86","true"
"167","17","86","true"
"168","19","86","true"
"169","21","86","true"
"170","23","86","true"
"171","25","86","true"
"172","27","86","true"
"173","29","86","true"
"174","31","86","true"
"175","33","86","true"
"176","36","86","true"
"177","40","86","true"
"178","44","86","true"
"179","50","86","true"
"180","57","86","true"
"181","66","86","true"
"182","76","86","true"
"183","89","86","true"
"184","104","86","true"
"185","120","86","true"
"186","135","86","true"
"187","154","86","true"
"188","165","86","true"
"189","175","86","true"
"190","180","86","true"
"191","184","86","true"
"192","186","86","true"
"193","188","86","true"
"194","189","86","true"
"195","190","86","true"
"196","190","86","true"
"197","190","86","true"
"198","190","86","true"
"199","191","86","true"
"200","191","86","true"
"201","191","86","true"
"202","191","86","true"
"203","191","86","true"
"204","191","86","true"
"205","191","86","true"
"206","191","86","true"
"207","191","86","true"
"208","191","86","true"
"209","191","86","true"
"210","191","86","true"
"211","191","86","true"
"212","191","86","true"
"213","191","86","true"
"214","191","86","true"
"215","191","86","true"
"216","191","86","true"
"217","191","86","true"
"218","191","86","true"
"219","191","86","true"
"220","191","86","true"
"221","191","86","true"
"222","191","86","true"
"223","191","86","true"
"224","191","86","true"
"225","191","86","true"
"226","191","86","true"
"227","191","86","true"
"228","191","86","true"
"229","191","86","true"
"230","191","86","true"
"231","191","86","true"
"232","191","86","true"
"233","191","86","true"
"234","191","86","true"
"235","191","86","true"
"236","191","86","true"
"237","191","86","true"
"238","191","86","true"
"239","191","86","true"
"240","191","86","true"
"241","191","86","true"
"242","191","86","true"
"243","191","86","true"
"244","191","86","true"
"245","191","86","true"
"246","191","86","true"
"247","191","86","true"
"248","191","86","true"
"249","191","86","true"
"250","191","86","true"
"251","191","86","true"
"252","191","86","true"
"253","190","86","true"
"254","190","86","true"
"255","190","86","true"
"256","190","86","true"
"257","190","86","true"
"258","190","86","true"
"259","190","86","true"
"260","190","86","true"
"261","190","86","true"
"262","190","86","true"
"263","190","86","true"
"264","190","86","true"
"265","190","86","true"
"266","190","86","true"
"267","189","86","true"
"268","188","86","true"
"269","188","86","true"
"270","188","86","true"
"271","187","86","true"
"272","187","86","true"
"273","186","86","true"
"274","183","86","true"
"275","183","86","true"
"276","182","86","true"
"277","182","86","true"
"278","181","86","true"
"279","181","86","true"
"280","179","86","true"
"281","176","86","true"
"282","176","86","true"
"283","175","86","true"
"284","169","86","true"
"285","167","86","true"
"286","165","86","true"
"287","161","86","true"
"288","155","86","true"
"289","152","86","true"
"290","144","86","true"
"291","139","86","true"
"292","130","86","true"
"293","124","86","true"
"294","118","86","true"
"295","113","86","true"
"296","109","86","true"
"297","105","86","true"
"298","105","86","true"
"299","99","86","true"
"300","96","86","true"
"301","89","86","true"
"302","85","86","true"
"303","82","86","true"
"304","81","86","true"
"305","78","86","true"
"306","73","86","true"
"307","68","86","true"
"308","60","86","true"
"309","59","86","true"
"310","58","86","true"
"311","53","86","true"
"312","50","86","true"
"313","51","86","true"
"314","48","86","true"
"315","48","86","true"
"316","48","86","true"
"317","48","86","true"
"318","46","86","true"
"319","47","86","true"
"320","51","86","true"
"321","55","86","true"
"322","54","86","true"
"323","53","86","true"
"324","51","86","true"
"325","51","86","true"
"326","53","86","true"
"327","55","86","true"
"328","57","86","true"
"329","58","86","true"
"330","59","86","true"
"331","63","86","true"
"332","69","86","true"
"333","77","86","true"
"334","90","86","true"
"335","104","86","true"
"336","114","86","true"
"337","129","86","true"
"338","145","86","true"
"339","159","86","true"
"340","167","86","true"
"341","172","86","true"
"342","173","86","true"
"343","173","86","true"
"344","174","86","true"
"345","174","86","true"
"346","174","86","true"
"347","174","86","true"
"348","174","86","true"
"349","174","86","true"
"350","174","86","true"
"351","174","86","true"
"352","174","86","true"
"353","174","86","true"
"354","174","86","true"
"355","174","86","true"
"356","174","86","true"
"357","174","86","true"
"358","174","86","true"
"359","174","86","true"
"360","174","86","true"
"361","174","86","true"
"362","174","86","true"
"363","174","86","true"
"364","174","86","true"
"365","174","86","true"
"366","174","86","true"
"367","174","86","true"
"368","174","86","true"
"369","174","86","true"
"370","174","86","true"
"371","174","86","true"
"372","174","86","true"
"373","174","86","true"
"374","174","86","true"
"375","174","86","true"
"376","174","86","true"
"377","174","86","true"
"378","174","86","true"
"379","174","86","true"
"380","174","86","true"
"381","174","86","true"
"382","174","86","true"
"383","174","86","true"
"384","174","86","true"
"385","174","86","true"
"386","174","86","true"
"387","174","86","true"
"388","174","86","true"
"389","174","86","true"
"390","174","86","true"
"391","174","86","true"
"392","174","86","true"
"393","174","86","true"
"394","174","86","true"
"395","174","86","true"
"396","174","86","true"
"397","174","86","true"
"398","174","86","true"
"399","174","86","true"
"400","174","86","true"
"401","174","86","true"
"402","174","86","true"
"403","174","86","true"
"404","174","86","true"
"405","174","86","true"
"406","174","86","true"
"407","174","86","true"
"408","174","86","true"
"409","174","86","true"
"410","173","86","true"
"411","173","86","true"
"412","173","86","true"
"413","173","86","true"
"414","173","86","true"
"415","173","86","true"
"416","173","86","true"
"417","172","86","true"
"418","172","86","true"
"419","171","86","true"
"420","171","86","true"
"421","169","86","true"
